"entity_type","entity_id","pb_id","population_id","observations","unique_source_units","unique_authors","independent_threads","platforms_n","label","saturation"
"MARKET_VOC:tag","emotion:overwhelm","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","emotion:overwhelm","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"MARKET_VOC:tag","emotion:painful","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","emotion:painful","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"MARKET_VOC:tag","emotion:relief","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","emotion:relief","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"MARKET_VOC:tag","emotion:tired","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","emotion:tired","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"MARKET_VOC:tag","enemy_blame","ALL","ALL","5","5","5","5","1","SUPPORTED","EARLY SIGNAL"
"PRODUCT_TRUTH:tag","enemy_blame","ALL","ALL","3","1","3","1","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:tag","enemy_blame","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","enemy_blame","ALL","ALL","11","9","11","9","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","failed_solution","ALL","ALL","15","11","15","11","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","failed_solution","ALL","ALL","29","26","25","26","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","failed_solution","ALL","ALL","44","37","40","37","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","fear","ALL","ALL","7","6","6","6","3","VALIDATED","STRONG"
"OWNED_PROOF:tag","fear","ALL","ALL","24","19","18","19","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","fear","ALL","ALL","31","25","24","25","4","VALIDATED","MODERATE"
"MARKET_VOC:tag","horror_story","ALL","ALL","8","8","8","8","2","VALIDATED","STRONG"
"PRODUCT_TRUTH:tag","horror_story","ALL","ALL","2","1","2","1","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:tag","horror_story","ALL","ALL","10","9","10","9","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","hyper_responsive","ALL","ALL","24","21","21","21","2","VALIDATED","STRONG"
"PRODUCT_TRUTH:tag","hyper_responsive","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:tag","hyper_responsive","ALL","ALL","41","33","32","33","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","hyper_responsive","ALL","ALL","67","56","55","56","4","VALIDATED","MODERATE"
"MARKET_VOC:tag","identity","ALL","ALL","6","5","5","5","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:tag","identity","ALL","ALL","11","11","11","11","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","identity","ALL","ALL","17","16","16","16","2","VALIDATED","MODERATE"
"MARKET_VOC:tag","if_only","ALL","ALL","3","3","3","3","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","if_only","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","if_only","ALL","ALL","4","4","4","4","3","VALIDATED","MODERATE"
"PRODUCT_TRUTH:tag","likes","ALL","ALL","5","1","5","1","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","likes","ALL","ALL","5","1","5","1","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:tag","made_them_act","ALL","ALL","6","6","6","6","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","made_them_act","ALL","ALL","10","10","9","10","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","made_them_act","ALL","ALL","16","16","15","16","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","objection","ALL","ALL","19","15","17","15","3","VALIDATED","STRONG"
"PRODUCT_TRUTH:tag","objection","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:tag","objection","ALL","ALL","47","39","37","39","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","objection","ALL","ALL","67","55","55","55","5","VALIDATED","MODERATE"
"MARKET_VOC:tag","outcome_reported","ALL","ALL","17","16","16","16","4","VALIDATED","STRONG"
"PRODUCT_TRUTH:tag","outcome_reported","ALL","ALL","10","2","10","2","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:tag","outcome_reported","ALL","ALL","9","9","9","9","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","outcome_reported","ALL","ALL","36","27","35","27","6","VALIDATED","MODERATE"
"MARKET_VOC:tag","pain","ALL","ALL","53","34","43","36","4","VALIDATED","STRONG"
"PRODUCT_TRUTH:tag","pain","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:tag","pain","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","pain","ALL","ALL","55","36","45","38","6","VALIDATED","MODERATE"
"MARKET_VOC:tag","population_marker","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:tag","population_marker","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"MARKET_VOC:tag","question_asked","ALL","ALL","10","9","10","9","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","question_asked","ALL","ALL","21","19","19","19","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","question_asked","ALL","ALL","31","28","29","28","3","VALIDATED","MODERATE"
"PRODUCT_TRUTH:tag","refuses","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:tag","refuses","ALL","ALL","6","6","6","6","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","refuses","ALL","ALL","7","7","7","7","2","VALIDATED","MODERATE"
"MARKET_VOC:tag","scene","ALL","ALL","9","8","9","9","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","scene","ALL","ALL","25","22","21","22","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","scene","ALL","ALL","34","30","30","31","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","skepticism","ALL","ALL","24","15","17","15","4","VALIDATED","STRONG"
"PRODUCT_TRUTH:tag","skepticism","ALL","ALL","2","1","2","1","1","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:tag","skepticism","ALL","ALL","36","29","27","29","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","skepticism","ALL","ALL","62","45","46","45","6","VALIDATED","MODERATE"
"MARKET_VOC:tag","solution_mentioned","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:tag","solution_mentioned","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","solution_mentioned","ALL","ALL","5","5","5","5","2","VALIDATED","MODERATE"
"MARKET_VOC:tag","spend","ALL","ALL","25","19","19","19","4","VALIDATED","STRONG"
"PRODUCT_TRUTH:tag","spend","ALL","ALL","5","2","5","2","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:tag","spend","ALL","ALL","48","37","35","37","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","spend","ALL","ALL","78","58","59","58","6","VALIDATED","MODERATE"
"MARKET_VOC:tag","symptom","ALL","ALL","5","3","5","3","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","symptom","ALL","ALL","3","2","2","2","1","EARLY SIGNAL","EARLY SIGNAL"
"ALL:tag","symptom","ALL","ALL","8","5","7","5","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","time_with_problem","ALL","ALL","2","1","2","1","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:tag","time_with_problem","ALL","ALL","2","1","2","1","1","EARLY SIGNAL","INSUFFICIENT"
"MARKET_VOC:tag","tired_of_hearing","ALL","ALL","4","4","4","4","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","tired_of_hearing","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","tired_of_hearing","ALL","ALL","7","7","7","7","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","tradeoff","ALL","ALL","2","2","2","2","2","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:tag","tradeoff","ALL","ALL","18","18","18","18","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","tradeoff","ALL","ALL","20","20","20","20","3","VALIDATED","MODERATE"
"MARKET_VOC:tag","trigger","ALL","ALL","7","5","7","7","2","VALIDATED","STRONG"
"OWNED_PROOF:tag","trigger","ALL","ALL","11","11","10","11","1","SUPPORTED","EARLY SIGNAL"
"ALL:tag","trigger","ALL","ALL","18","16","17","18","3","VALIDATED","MODERATE"
"MARKET_VOC:pb","PB-01","PB-01","ALL","31","11","23","14","3","VALIDATED","STRONG"
"PRODUCT_TRUTH:pb","PB-01","PB-01","ALL","10","2","10","2","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:pb","PB-01","PB-01","ALL","45","35","32","35","1","SUPPORTED","EARLY SIGNAL"
"ALL:pb","PB-01","PB-01","ALL","86","48","65","51","5","VALIDATED","MODERATE"
"OWNED_PROOF:pb","PB-02","PB-02","ALL","48","35","34","35","1","SUPPORTED","EARLY SIGNAL"
"ALL:pb","PB-02","PB-02","ALL","48","35","34","35","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:pb","PB-03","PB-03","ALL","31","27","25","27","1","SUPPORTED","EARLY SIGNAL"
"ALL:pb","PB-03","PB-03","ALL","31","27","25","27","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:pb","PB-04","PB-04","ALL","15","14","14","14","1","SUPPORTED","EARLY SIGNAL"
"ALL:pb","PB-04","PB-04","ALL","15","14","14","14","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:pb","PB-05","PB-05","ALL","30","13","18","13","3","VALIDATED","STRONG"
"OWNED_PROOF:pb","PB-05","PB-05","ALL","17","11","11","11","1","SUPPORTED","EARLY SIGNAL"
"ALL:pb","PB-05","PB-05","ALL","47","24","29","24","4","VALIDATED","MODERATE"
"MARKET_VOC:pb","PB-06","PB-06","ALL","55","18","23","18","4","VALIDATED","STRONG"
"OWNED_PROOF:pb","PB-06","PB-06","ALL","26","20","19","20","1","SUPPORTED","EARLY SIGNAL"
"ALL:pb","PB-06","PB-06","ALL","81","38","42","38","5","VALIDATED","MODERATE"
"OWNED_PROOF:pb","PB-07","PB-07","ALL","12","8","8","8","1","SUPPORTED","EARLY SIGNAL"
"ALL:pb","PB-07","PB-07","ALL","12","8","8","8","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:cp","CP-01","ALL","CP-01","4","1","4","4","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:cp","CP-01","ALL","CP-01","25","15","15","15","1","SUPPORTED","EARLY SIGNAL"
"ALL:cp","CP-01","ALL","CP-01","29","16","19","19","2","VALIDATED","MODERATE"
"OWNED_PROOF:cp","CP-02","ALL","CP-02","21","11","11","11","1","SUPPORTED","EARLY SIGNAL"
"ALL:cp","CP-02","ALL","CP-02","21","11","11","11","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:cp","CP-03","ALL","CP-03","47","18","18","18","4","VALIDATED","STRONG"
"OWNED_PROOF:cp","CP-03","ALL","CP-03","35","18","14","18","1","SUPPORTED","EARLY SIGNAL"
"ALL:cp","CP-03","ALL","CP-03","82","36","32","36","5","VALIDATED","MODERATE"
"OWNED_PROOF:cp","CP-04","ALL","CP-04","19","9","8","9","1","SUPPORTED","EARLY SIGNAL"
"ALL:cp","CP-04","ALL","CP-04","19","9","8","9","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:cp","CP-05","ALL","CP-05","46","24","27","24","4","VALIDATED","STRONG"
"PRODUCT_TRUTH:cp","CP-05","ALL","CP-05","10","2","10","2","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:cp","CP-05","ALL","CP-05","17","6","6","6","1","SUPPORTED","EARLY SIGNAL"
"ALL:cp","CP-05","ALL","CP-05","73","32","43","32","6","VALIDATED","MODERATE"
"OWNED_PROOF:cp","CP-06","ALL","CP-06","15","8","7","8","1","SUPPORTED","EARLY SIGNAL"
"ALL:cp","CP-06","ALL","CP-06","15","8","7","8","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:cp","CP-07","ALL","CP-07","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:cp","CP-07","ALL","CP-07","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"MARKET_VOC:OBJ","OBJ-01","ALL","ALL","2","2","2","2","2","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:OBJ","OBJ-01","ALL","ALL","16","14","14","14","1","SUPPORTED","EARLY SIGNAL"
"ALL:OBJ","OBJ-01","ALL","ALL","18","16","16","16","3","VALIDATED","MODERATE"
"MARKET_VOC:OBJ","OBJ-02","ALL","ALL","3","3","3","3","2","VALIDATED","STRONG"
"OWNED_PROOF:OBJ","OBJ-02","ALL","ALL","9","8","8","8","1","SUPPORTED","EARLY SIGNAL"
"ALL:OBJ","OBJ-02","ALL","ALL","12","11","11","11","3","VALIDATED","MODERATE"
"MARKET_VOC:OBJ","OBJ-03","ALL","ALL","3","3","3","3","2","VALIDATED","STRONG"
"PRODUCT_TRUTH:OBJ","OBJ-03","ALL","ALL","2","1","2","1","1","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:OBJ","OBJ-03","ALL","ALL","7","7","6","7","1","SUPPORTED","EARLY SIGNAL"
"ALL:OBJ","OBJ-03","ALL","ALL","12","11","11","11","4","VALIDATED","MODERATE"
"MARKET_VOC:OBJ","OBJ-04","ALL","ALL","3","3","3","3","3","VALIDATED","STRONG"
"PRODUCT_TRUTH:OBJ","OBJ-04","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:OBJ","OBJ-04","ALL","ALL","6","6","5","6","1","SUPPORTED","EARLY SIGNAL"
"ALL:OBJ","OBJ-04","ALL","ALL","10","10","9","10","5","VALIDATED","MODERATE"
"OWNED_PROOF:OBJ","OBJ-05","ALL","ALL","7","7","7","7","1","SUPPORTED","EARLY SIGNAL"
"ALL:OBJ","OBJ-05","ALL","ALL","7","7","7","7","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:OBJ","OBJ-06","ALL","ALL","3","1","3","3","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:OBJ","OBJ-06","ALL","ALL","4","4","4","4","1","SUPPORTED","EARLY SIGNAL"
"ALL:OBJ","OBJ-06","ALL","ALL","7","5","7","7","2","VALIDATED","MODERATE"
"MARKET_VOC:OBJ","OBJ-07","ALL","ALL","3","3","3","3","2","VALIDATED","STRONG"
"OWNED_PROOF:OBJ","OBJ-07","ALL","ALL","9","7","7","7","1","SUPPORTED","EARLY SIGNAL"
"ALL:OBJ","OBJ-07","ALL","ALL","12","10","10","10","3","VALIDATED","MODERATE"
"MARKET_VOC:OBJ","OBJ-08","ALL","ALL","7","5","7","5","2","VALIDATED","STRONG"
"PRODUCT_TRUTH:OBJ","OBJ-08","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:OBJ","OBJ-08","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:OBJ","OBJ-08","ALL","ALL","10","8","10","8","4","VALIDATED","MODERATE"
"OWNED_PROOF:OBJ","OBJ-09","ALL","ALL","2","2","1","2","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:OBJ","OBJ-09","ALL","ALL","2","2","1","2","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:OBJ","OBJ-10","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:OBJ","OBJ-10","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:OBJ","OBJ-11","ALL","ALL","4","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:OBJ","OBJ-11","ALL","ALL","4","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:FS","FS-01","ALL","ALL","23","16","16","16","4","VALIDATED","STRONG"
"OWNED_PROOF:FS","FS-01","ALL","ALL","9","9","9","9","1","SUPPORTED","EARLY SIGNAL"
"ALL:FS","FS-01","ALL","ALL","32","25","25","25","5","VALIDATED","MODERATE"
"MARKET_VOC:FS","FS-02","ALL","ALL","9","6","8","6","3","VALIDATED","STRONG"
"PRODUCT_TRUTH:FS","FS-02","ALL","ALL","5","2","5","2","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:FS","FS-02","ALL","ALL","4","4","4","4","1","SUPPORTED","EARLY SIGNAL"
"ALL:FS","FS-02","ALL","ALL","18","12","17","12","5","VALIDATED","MODERATE"
"MARKET_VOC:FS","FS-03","ALL","ALL","4","2","2","2","1","EARLY SIGNAL","EARLY SIGNAL"
"OWNED_PROOF:FS","FS-03","ALL","ALL","2","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:FS","FS-03","ALL","ALL","6","3","3","3","2","VALIDATED","MODERATE"
"OWNED_PROOF:FS","FS-04","ALL","ALL","5","4","4","4","1","SUPPORTED","EARLY SIGNAL"
"ALL:FS","FS-04","ALL","ALL","5","4","4","4","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:FS","FS-05","ALL","ALL","8","2","6","2","2","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:FS","FS-05","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:FS","FS-05","ALL","ALL","11","5","9","5","3","VALIDATED","MODERATE"
"MARKET_VOC:FS","FS-06","ALL","ALL","3","3","3","3","2","VALIDATED","STRONG"
"OWNED_PROOF:FS","FS-06","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:FS","FS-06","ALL","ALL","4","4","4","4","3","VALIDATED","MODERATE"
"MARKET_VOC:MC","MC-01","ALL","ALL","3","2","2","2","1","EARLY SIGNAL","EARLY SIGNAL"
"OWNED_PROOF:MC","MC-01","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:MC","MC-01","ALL","ALL","4","3","3","3","2","VALIDATED","MODERATE"
"PRODUCT_TRUTH:MC","MC-02","ALL","ALL","2","1","2","1","1","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:MC","MC-02","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:MC","MC-02","ALL","ALL","5","4","5","4","2","VALIDATED","MODERATE"
"OWNED_PROOF:MC","MC-03","ALL","ALL","6","5","5","5","1","SUPPORTED","EARLY SIGNAL"
"ALL:MC","MC-03","ALL","ALL","6","5","5","5","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:MC","MC-04","ALL","ALL","3","2","3","2","2","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:MC","MC-04","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:MC","MC-04","ALL","ALL","5","4","5","4","3","VALIDATED","MODERATE"
"MARKET_VOC:MC","MC-05","ALL","ALL","3","2","3","2","2","SUPPORTED","EARLY SIGNAL"
"PRODUCT_TRUTH:MC","MC-05","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:MC","MC-05","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:MC","MC-05","ALL","ALL","6","5","6","5","4","VALIDATED","MODERATE"
"MARKET_VOC:MC","MC-06","ALL","ALL","6","5","6","5","2","VALIDATED","STRONG"
"ALL:MC","MC-06","ALL","ALL","6","5","6","5","2","VALIDATED","MODERATE"
"OWNED_PROOF:MC","MC-07","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:MC","MC-07","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"MARKET_VOC:SK","SK-01","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"PRODUCT_TRUTH:SK","SK-01","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:SK","SK-01","ALL","ALL","3","3","3","3","1","SUPPORTED","EARLY SIGNAL"
"ALL:SK","SK-01","ALL","ALL","5","5","5","5","3","VALIDATED","MODERATE"
"MARKET_VOC:SK","SK-02","ALL","ALL","4","4","4","4","2","VALIDATED","STRONG"
"PRODUCT_TRUTH:SK","SK-02","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:SK","SK-02","ALL","ALL","5","5","5","5","3","VALIDATED","MODERATE"
"MARKET_VOC:SK","SK-03","ALL","ALL","3","3","3","3","2","VALIDATED","STRONG"
"OWNED_PROOF:SK","SK-03","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:SK","SK-03","ALL","ALL","4","4","4","4","3","VALIDATED","MODERATE"
"MARKET_VOC:SK","SK-04","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:SK","SK-04","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:SK","SK-04","ALL","ALL","3","3","3","3","2","VALIDATED","MODERATE"
"OWNED_PROOF:SK","SK-05","ALL","ALL","6","6","6","6","1","SUPPORTED","EARLY SIGNAL"
"ALL:SK","SK-05","ALL","ALL","6","6","6","6","1","SUPPORTED","EARLY SIGNAL"
"OWNED_PROOF:SK","SK-06","ALL","ALL","5","5","5","5","1","SUPPORTED","EARLY SIGNAL"
"ALL:SK","SK-06","ALL","ALL","5","5","5","5","1","SUPPORTED","EARLY SIGNAL"
"MARKET_VOC:AD","AD-01","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:AD","AD-01","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"ALL:AD","AD-01","ALL","ALL","2","2","2","2","2","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:AD","AD-02","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:AD","AD-02","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"MARKET_VOC:AD","AD-03","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
"OWNED_PROOF:AD","AD-03","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:AD","AD-03","ALL","ALL","3","3","3","3","2","VALIDATED","MODERATE"
"OWNED_PROOF:AD","AD-04","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"ALL:AD","AD-04","ALL","ALL","2","2","2","2","1","EARLY SIGNAL","INSUFFICIENT"
"OWNED_PROOF:AD","AD-05","ALL","ALL","1","1","1","1","1","HYPOTHESIS (ANECDOTE)","INSUFFICIENT"
